1,-65.734749,-27.163853,17.383,177,43,60,1.96,-72.19,-5.71,-177.45,-69.19,3
2,-67.655078,-26.629547,8.401,112,75,46,2.4,53.09,-17.96,-19.7,42.4,1
3,-66.930815,-25.962929,2.727,304,89,2,2.52,-101.03,-0.71,-11.0,-2.12,1
4,-66.932393,-25.964187,2.145,123,79,-15,2.7,-100.98,-18.34,169.87,2.56,1
5,-67.289343,-25.864305,10.445,308,58,-31,3.87,-85.86,43.12,0.6,-3.78,1
6,-67.29198,-25.869232,9.223,299,72,-42,3.22,-106.04,41.95,176.31,-13.38,1
7,-66.249386,-27.078851,12.683,335,62,75,2.36,75.96,15.73,33.93,-69.23,3
8,-67.621436,-26.661926,2.628,147,77,-6,2.16,-76.71,-13.36,12.1,4.99,1
9,-67.927401,-26.174813,0.755,214,27,-30,2.14,-146.56,52.24,-99.91,-28.0,2
10,-66.659599,-26.068819,0.187,134,54,-27,3.04,-77.32,-42.48,4.37,8.97,1
11,-67.346615,-26.923779,8.756,127,88,-13,2.15,-98.5,-10.58,-7.05,-7.72,1
12,-66.660661,-26.067767,0.008,312,55,-9,2.74,-84.45,29.75,174.62,18.36,1
13,-67.522925,-27.865926,24.775,330,75,73,2.86,73.55,28.04,37.86,-56.74,3
14,-66.630562,-27.255674,8.746,158,72,69,3.23,-95.87,24.16,-140.41,-57.82,3
15,-66.63219,-27.253815,8.197,144,53,41,2.71,86.31,3.16,-7.85,52.75,3
16,-66.628271,-27.257918,8.808,355,38,95,2.93,81.44,-7.1,-122.23,-82.26,3
17,-66.629525,-27.258846,9.542,329,58,36,2.96,93.9,-1.27,-177.45,46.65,3
18,-67.813163,-26.019497,1.975,159,43,77,2.41,78.16,2.71,151.25,-80.76,3
19,-67.280514,-26.732381,6.394,272,77,29,1.85,-139.09,-10.08,136.69,29.54,1
20,-66.771659,-26.331108,5.68,133,64,-11,2.02,-86.71,-25.55,178.02,-10.88,1
21,-66.367456,-26.637419,1.425,171,88,47,2.25,114.64,-29.48,46.0,32.79,1
22,-66.985083,-26.957874,5.683,122,69,-17,1.84,-98.91,-26.51,-10.64,3.46,1
23,-66.178455,-27.06897,0.0,330,57,40,3.08,92.8,-0.22,-177.47,50.02,3
24,-67.620292,-26.553198,8.963,95,77,-56,1.82,-139.63,-46.91,159.28,24.34,2
25,-67.888025,-26.358492,7.489,325,65,67,2.64,71.79,16.92,17.93,-62.72,3
26,-67.805986,-25.973582,2.885,103,83,-6,2.25,-121.57,-9.18,-31.69,0.73,1
27,-67.910388,-26.408118,6.867,155,33,50,2.03,93.43,17.34,-33.65,62.63,3
28,-66.658272,-26.070544,0.0,322,50,-23,2.58,-67.22,41.77,9.86,-14.06,1
29,-66.597396,-27.36826,6.104,302,88,-1,2.48,-102.97,2.12,-13.0,-0.71,1
30,-67.349776,-26.521134,4.819,329,78,2,2.49,-75.6,7.06,-166.83,9.85,1
31,-67.657918,-25.729773,10.882,347,55,32,3.17,-65.94,5.66,-161.72,45.44,3
32,-66.895752,-27.155912,11.485,142,89,-33,2.28,-87.74,-23.42,-167.72,21.88,1
33,-66.197693,-26.373002,6.406,145,65,-23,2.74,-73.84,-33.31,-165.67,-2.78,1
34,-66.973633,-25.800332,3.455,300,73,-51,2.38,-109.2,47.08,2.0,18.59,2
35,-67.540649,-26.483374,10.518,137,84,20,2.09,89.37,-9.59,-177.42,-18.33,1
36,-67.541467,-26.484288,10.858,136,84,18,2.82,88.81,-8.24,-178.67,-16.93,1
37,-67.903569,-26.187614,0.0,219,36,-59,1.9,-129.4,68.17,-72.9,-12.46,2
38,-66.146488,-26.91141,1.723,311,54,19,2.12,84.39,-13.26,164.15,37.0,1
39,-66.616626,-26.304604,1.397,320,46,-11,2.91,-70.87,36.03,0.95,-23.21,1
40,-66.94504,-25.674654,6.583,168,85,12,2.52,-58.04,4.87,-147.0,-12.01,1
41,-66.493551,-26.750299,14.55,184,72,-30,2.55,-38.61,-33.69,55.93,-6.76,1
42,-66.890446,-25.929976,2.453,328,31,-8,2.38,-53.78,41.06,-179.36,33.74,1
43,-66.889152,-25.92915,2.577,343,46,7,3.02,-56.01,25.42,-164.4,33.59,1
44,-67.81724,-25.911481,1.669,11,52,-73,2.42,-23.27,75.51,-90.99,-5.6,2
45,-67.635042,-26.72797,4.794,327,77,2,3.52,-77.5,7.76,11.04,-10.55,1
46,-67.632638,-26.726919,4.58,159,72,-16,2.71,-63.01,-23.82,26.15,1.9,1
47,-69.063013,-25.985618,0.0,22,61,83,3.02,117.14,15.73,94.79,-73.07,3
48,-67.890015,-26.160785,1.4,75,85,89,2.92,-14.08,-39.99,-16.1,49.99,3
49,-65.851131,-26.601404,17.099,217,31,49,2.96,-23.55,-19.34,25.63,61.76,3
50,-68.58811,-27.108445,6.464,63,74,-81,2.92,165.79,-60.03,-34.23,-28.45,2
51,-66.998201,-26.807332,9.591,323,66,-17,2.88,-76.72,28.46,10.19,-5.67,1
52,-66.659485,-26.06849,0.121,319,77,-19,2.69,-84.62,22.54,-173.07,-3.74,1
53,-66.706234,-27.360036,10.853,164,47,71,2.69,87.31,-0.39,-1.12,76.22,3
54,-68.18855,-26.800283,6.357,210,41,-83,2.77,-112.64,83.78,-64.96,-4.2,2
55,-67.457955,-27.215251,11.732,315,49,51,2.17,71.46,-2.82,-23.74,-61.48,3
56,-67.701839,-25.865515,5.72,147,21,5,2.61,123.18,39.65,162.54,-43.02,1
57,-65.773588,-26.931734,13.86,7,48,18,2.4,-37.97,18.11,-143.58,39.46,1
